FRAME,POSE0,POSE1,POSE2,POSE3,POSE4,POSE5,EXP0,EXP1,EXP2,EXP3,EXP4,EXP5,EXP6,EXP7,EXP8,EXP9,EXP10,EXP11,EXP12,EXP13,EXP14,EXP15,EXP16,EXP17,EXP18,EXP19,EXP20,EXP21,EXP22,EXP23,EXP24,EXP25,EXP26,EXP27,EXP28
0,-0.07400323450565338,-0.12444128096103668,-0.13396528363227844,1.5304009914398193,11.120142936706543,3136.1337890625,-0.24806544184684753,0.0006867647171020508,-0.2803776264190674,-0.4762134253978729,0.006405763328075409,-0.12934637069702148,-0.6543259620666504,-0.04129683971405029,-0.07540997862815857,0.2558584213256836,-0.1282959133386612,0.2000965029001236,-0.2149958312511444,-0.0705343559384346,-0.1198377013206482,0.3239859342575073,-0.019732434302568436,-0.2441307008266449,0.05211310833692551,-0.08889810740947723,-0.02844299003481865,0.12942905724048615,-0.1782204955816269,0.01882476918399334,0.039251405745744705,-0.031124666333198547,-0.13767048716545105,0.0887085497379303,0.002142054960131645
1,-0.1764318346977234,-0.033161573112010956,-0.10307536274194717,-0.8317768573760986,12.311856269836426,3134.2333984375,-0.3313980996608734,-0.27171361446380615,-0.2254725992679596,-0.42348501086235046,-0.14701011776924133,-0.2196049690246582,-0.675087571144104,-0.12762537598609924,-0.5021661520004272,0.31391000747680664,0.004116632044315338,0.03961450234055519,0.14530280232429504,-0.06849649548530579,-0.2536349892616272,-0.04546386003494263,-0.2330320030450821,-0.15786564350128174,0.11826270818710327,0.03198102489113808,0.11593270301818848,0.1120930165052414,-0.021013788878917694,0.01892632059752941,0.14143440127372742,0.01826390251517296,-0.024687420576810837,0.045127023011446,0.04477144032716751
2,-0.15282291173934937,-0.16945506632328033,-0.13261422514915466,2.470109462738037,12.43311595916748,3141.2587890625,-0.19575010240077972,0.09257268160581589,-0.23232939839363098,-0.27553972601890564,-0.03561030328273773,0.1480264812707901,-0.18623808026313782,0.054931312799453735,-0.3850886821746826,0.1758570522069931,-0.280515193939209,0.10710616409778595,0.20187678933143616,-0.1603137105703354,-0.1809665411710739,0.09991367906332016,-0.12347589433193207,0.1281210035085678,0.22651520371437073,0.004332229495048523,0.21725626289844513,0.010881610214710236,-0.06082158908247948,0.02888077311217785,0.101311594247818,-0.02307933196425438,-0.046083007007837296,0.03133755549788475,0.07077349722385406
